Identifiant ICAR;Code postal;Code rue;ICAR - Code rue RN;Code ins commune;Localité;Secteur Electoral;Nom rue;Année de dénomination;Nom rue Population;Code postal Homonyme2;Code rue Homonyme2;Rue nom Homonyme2;Code postal Homonyme3;Code rue Homonyme3;Rue nom Homonyme3;Code postal Homonyme4;Code rue Homonyme4;Rue nom Homonyme4;Collège communal;Conseil Communal;Nom rue RN;Type voirie;Rue dans Corbeille;Voirie Privée/Publique;Rue Régionale/Communale;Nom rue Cadastre;Rue en Majuscule;Nom rue en Minuscule;Mot clé;Code Ins Entité;Entité;Date données Population;Nombre Ménages;Nombre Habitants;Code rue - Nom de rue;Thématique;Localités;Zone(s) stationnement
7753571;5000;1303;1303;92094;NAMUR;02;Rempart de la Vierge;;Rempart de la Vierge(NR);;;;;;;;;;;;;VOIRIE;CORBEILLE;PUBLIQUE;COMMUNALE;REMPART DE LA VIERGE;VIERGE (Rempart de la );Vierge (Rempart de la );Vierge;92094;Namur;2023-05-07;51;68;1303-Rempart de la Vierge;Culte;Namur;Verte
7754424;5022;4207;4207;92025;COGNELEE;11;Rue Houyoux;;Rue Houyoux(CG);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;R HOUYOUX;HOUYOUX (Rue );Houyoux (Rue );Houyoux;92094;Namur;2023-05-07;17;48;4207-Rue Houyoux;Géographie;Cognelée;
7753778;5020;4012;4012;92024;CHAMPION;10;Rue de la Jonquière;;Rue de la Jonquière(CH);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;R DE LA JONQUIERE;JONQUIERE (Rue de la );Jonquière (Rue de la );Jonquière;92094;Namur;2023-05-07;23;49;4012-Rue de la Jonquière;Faune et Flore;Champion;
7754486;5020;4014;4014;92024;CHAMPION;10;Rue Léon Lefèvre;;Rue Léon Lefèvre(CH);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;R LEON LEFEVRE;LEFEVRE (Rue Léon );Lefèvre (Rue Léon );Lefèvre;92094;Namur;2023-05-07;40;85;4014-Rue Léon Lefèvre;Nom propre (masculin);Champion;
7753170;5022;4209;4209;92025;COGNELEE;11;Chaussée de Louvain;;Chaussée de Louvain(CG) n° 831 à fin(1081) et 822 à fin(1130);5004;3730;Chaussée de Louvain(BU) n° 251 à 533 et 202 à 530;5020;4015;Chaussée de Louvain(CH) n° 535 à 829 et 532 à 820;5000;1030;Chaussée de Louvain(NR) n° 1 à 249 et 2 à 200;;;;VOIRIE;;PUBLIQUE;REGIONALE;CHEE DE LOUVAIN;LOUVAIN (Chaussée de );Louvain (Chaussée de );Louvain;92094;Namur;2023-05-07;37;86;4209-Chaussée de Louvain;Géographie;Cognelée;
7753795;5022;4211;4211;92025;COGNELEE;11;Rue de la Picardie;;Rue de la Picardie(CG);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;R DE LA PICARDIE;PICARDIE (Rue de la );Picardie (Rue de la );Picardie;92094;Namur;2023-05-07;0;0;4211-Rue de la Picardie;Géographie;Cognelée;
7754541;5020;4018;4018;92024;CHAMPION;10;Rue Pôlet;;Rue Pôlet(CH) n°73 à fin impairs;5020;8323;Rue Pôlet(VD) n°1 à 71 et 2 à fin;;;;;;;;;;VOIRIE;;PRIVEE;COMMUNALE;R POLET;POLET (Rue );Pôlet (Rue );Pôlet;92094;Namur;2023-05-07;7;12;4018-Rue Pôlet;Pas de renseignement;Champion;
7754111;5020;4020;4020;92024;CHAMPION;10;Rue des Sarazins;;Rue des Sarazins(CH);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;R DES SARAZINS;SARAZINS (Rue des );Sarazins (Rue des );Sarazins;92094;Namur;2023-05-07;54;135;4020-Rue des Sarazins;Faune et Flore;Champion;
7754070;5024;6727;6727;92083;MARCHE-LES-DAMES;24;Rue des Perce-Neige;;Rue des Perce-Neige(MD);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;R DES PERCE-NEIGE;PERCE-NEIGE (Rue des );Perce-Neige (Rue des );Perce-Neige;92094;Namur;2023-05-07;2;5;6727-Rue des Perce-Neige;Faune et Flore;Marche-les-Dames;
7754267;5024;6719;6719;92083;MARCHE-LES-DAMES;24;Rue du Poncia;;Rue du Poncia(MD);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;R DU PONCIA;PONCIA (Rue du );Poncia (Rue du );Poncia;92094;Namur;2023-05-07;9;17;6719-Rue du Poncia;Pas de renseignement;Marche-les-Dames;
7753712;5024;5303;5303;92052;GELBRESSEE;16;Rue de Ferraire;1979;Rue de Ferraire(GB)(AVANT 28.05.79 Rue de l'Eglise);;;;;;;;;;1979-05-28;1979-05-28;1979-05-28;VOIRIE;;PUBLIQUE;COMMUNALE;R DE FERRAIRE;FERRAIRE (Rue de );Ferraire (Rue de );Ferraire;92094;Namur;2023-05-07;3;5;5303-Rue de Ferraire;Pas de renseignement;Gelbressée;
7753577;5021;3505;3505;92017;BONINNE;08;Route de Hannut;;Route de Hannut(BN) n° 123 à 359 et 106 à 360;5004;3724;Route de Hannut(BU) n° 21 à 121 et 6 à 104;5024;5306;Route de Hannut(GB) n° 361 à fin et 362 à fin;5000;1814;Route de Hannut(NR) n° 1 à 19 et 2 à 4;;;;VOIRIE;;PUBLIQUE;REGIONALE;RTE DE HANNUT;HANNUT (Route de );Hannut (Route de );Hannut;92094;Namur;2023-05-07;81;201;3505-Route de Hannut;Géographie;Boninne;
7753621;5021;3509;3509;92017;BONINNE;08;Rue Arthur Mahaux;;Rue Arthur Mahaux(BN);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;R ARTHUR MAHAUX;MAHAUX (Rue Arthur );Mahaux (Rue Arthur );Mahaux;92094;Namur;2023-05-07;34;79;3509-Rue Arthur Mahaux;Nom propre (masculin);Boninne;
7753300;5021;3516;3516;92017;BONINNE;08;Chemin Pierreux;;Chemin Pierreux(BN);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;CHEM PIERREUX;PIERREUX (Chemin );Pierreux (Chemin );Pierreux;92094;Namur;2023-05-07;0;0;3516-Chemin Pierreux;Pas de renseignement;Boninne;
7753707;5100;6908;6908;92095;NANINNE;25;Rue de Cotibeau;;Rue de Cotibeau(NN);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;R DE COTIBEAU;COTIBEAU (Rue de );Cotibeau (Rue de );Cotibeau;92094;Namur;2023-05-07;16;44;6908-Rue de Cotibeau;Pas de renseignement;Naninne;
7753390;5100;9019;9019;92136;WIERDE;33;Fond du Village;;Fond du Village(WD);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;FOND DU VILLAGE;FOND DU VILLAGE;Fond du Village;Fond du Village;92094;Namur;2023-05-07;12;31;9019-Fond du Village;Géographie;Wierde;
7754206;5100;9020;9020;92136;WIERDE;33;Rue du Fort d'Andoy;1979;Rue du Fort d'Andoy(WD)(AVANT 28.05.79 Route Militaire);;;;;;;;;;1979-05-28;1979-05-28;1979-05-28;VOIRIE;;PUBLIQUE;COMMUNALE;R DU FORT D ANDOY;FORT D'ANDOY (Rue du );Fort d'Andoy (Rue du );Fort d'Andoy;92094;Namur;2023-05-07;44;126;9020-Rue du Fort d'Andoy;Géographie;Wierde;
7754656;5100;9023;9023;92136;WIERDE;33;Square des Gives;;Square des Gives(WD);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;SQ DES GIVES;GIVES (Square des );Gives (Square des );Gives;92094;Namur;2023-05-07;6;14;9023-Square des Gives;Géographie;Wierde;
7754221;5100;6917;6917;92095;NANINNE;25;Rue du Hameau;1979;Rue du Hameau(NN)(AVANT 28.05.79 Vieux Tienne);;;;;;;;;;1979-05-28;1979-05-28;1979-05-28;VOIRIE;;PUBLIQUE;COMMUNALE;R DU HAMEAU;HAMEAU (Rue du );Hameau (Rue du );Hameau;92094;Namur;2023-05-07;1;1;6917-Rue du Hameau;Géographie;Naninne;
