Type FR;Type NL;Type ENG;Adresse;Adres;Quartier;Wijk;WGS84_LONG;WGS84_LAT;WGS84_LALO;Accèssibilité PMR / Toegankelijkheid PBM;Gratuit / Gratis;Gestion/Beheer;Heures d'ouverture / Openingsuren;Type;Rue;Lokalisatie/localisation;Huisnummer/n° de rue;NIVEAU
TOILETTE;TOILET;TOILET;161, Rue Neuve;161, Nieuwstraat;Pentagone;Vijfhoek;4.3883850634115855;50.85482154947404;50.85482154947404, 4.3583850634115855;Ja / Oui;Gratuit / Gratis;Privé;08:00-19:00;Privaat uitgebaat toilet / Toilette exploitée par le privé;Rue Neuve;Shopping center City 2 (niveau -1);123;-1
TOILETTE;TOILET;TOILET;117, Rue Neuve;117, Nieuwstraat;Pentagone;Vijfhoek;4.356785266893335;50.85313866241333;50.85313866241333, 4.356785266893335;Ja / Oui;Payant / Betalend;Privé;Lu-je/Ma-do 09:30-19:00, Ve/Vr 09:30-20:00;Privaat uitgebaat toilet / Toilette exploitée par le privé;Rue Neuve;Shopping center Inno (niveau +3);111-123;3
TOILETTE;TOILET;TOILET;152, Rue Haute;152, Hoogstraat;Pentagone;Vijfhoek;4.350429181216913;50.83870584695032;50.83870584695032, 4.350429181216913;Nee / Non;Gratuit / Gratis;Privé;10:00 - 22:00;Gastvrije toiletten / Toilettes accueillantes;Rue Haute;Les Vignes du Liban;152;-1
TOILETTE;TOILET;TOILET;82, Rue Gustave Demanet;82, Gustave Demanetstraat;Neder-Over-Heembeek/Mutsaard;Neder-Over-Heembeek/Mutsaard;4.358529272734613;50.899147381408234;50.899147381408234, 4.358529272734613;null;?;null;null;Gastvrije toiletten / Toilettes accueillantes;Rue Gustave Demanet;Bibliothèque Mutsaard;82;0
TOILETTE;TOILET;TOILET;4, Rue De Wand;4, De Wandstraat;Neder-Over-Heembeek/Mutsaard;Neder-Over-Heembeek/Mutsaard;4.357655195432722;50.895559230033435;50.895559230033435, 4.357655195432722;Ja / Oui;Gratuit / Gratis;Stad Brussel / Ville de Bruxelles;24h/24h;Openbaar toilet / Toilette publique;Rue De Wand;null;11;0
TOILETTE;TOILET;TOILET;29, Place du Jeu de Balle;29, Vossenplein;Pentagone;Vijfhoek;4.345221714420354;50.83708397185107;50.83708397185107, 4.345221714420354;Nee / Non;Gratuit / Gratis;Privé;08:00 - 01:00;Gastvrije toiletten / Toilettes accueillantes;Place du Jeu de balle;Volle Brol;29;0
TOILETTE;TOILET;TOILET;3, Place du Jeu de Balle;3, Vossenplein;Pentagone;Vijfhoek;4.346584081326034;50.83750549734159;50.83750549734159, 4.346584081326034;Nee / Non;Gratuit / Gratis;Privé;09:00 - 21:00;Gastvrije toiletten / Toilettes accueillantes;Place du Jeu de Balle;Le Chineur;3;0
TOILETTE;TOILET;TOILET;4, Rue de la Comtesse de Flandre;4, Gravin Van Vlaanderenstraat;Laeken;Laken;4.352898746837728;50.87400674393749;50.87400674393749, 4.352898746837728;Ja / Oui;?;null;null;Gastvrije toiletten / Toilettes accueillantes;Comtesse de Flandre;Maison de quartier Bockstael;4;0
TOILETTE;TOILET;TOILET;1, Carrefour des Attelages;1, Gespanhoek;Louise;Louiza;4.378942018665143;50.806806102953715;50.806806102953715, 4.378942018665143;Ja / Oui;Payant / Betalend;Privé;Lu-ve/Ma-vr 10:00-18:00, WE 10:00-20:00;Privaat uitgebaat toilet / Toilette exploitée par le privé;Carrefour des Attelages;Woodpecker;1;0
TOILETTE;TOILET;TOILET;159, Quai des Usines;159, Werkhuizenkaai;Nord;Noord;4.372793074988258;50.8795900016411;50.8795900016411, 4.372793074988258;Ja / Oui;Gratuit / Gratis;Privé;Lu-ve/Ma-vr 10:00-19:00,  Sa/Za 10:00-20:00;Privaat uitgebaat toilet / Toilette exploitée par le privé;Boulevard Lambermont;Shopping center Docks Bruxsel;1;
