jsondatas;Identifiant;Type;Catégorie;Description;Localisation;Nom;jsondatas_refdevice_value;jsondatas_refparkinggroup_value;jsondatas_refparkingsite_value;Statut;Date du statut;Adresse;Url
"{""id"": ""1063"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""KISSANDRIDE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-03-25T17:58:20.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""FC01"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.65026723"", ""5.58988260""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""FC01"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""2070"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""154"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""OCCUPIED"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-03-25T17:58:20.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3363718, ""metadata"": {}}}";1063;ParkingSpot;onstreet,KISSANDRIDE;FC01;50.65026723, 5.5898826;FC01;2070;154;LIEGE;Occupé;2023-03-25T18:58:20+01:00;;https://www.liege.be/kissandride
"{""id"": ""169"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-03-26T21:44:13.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""GU25"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.62829038"", ""5.56746622""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""GU25"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""1794"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""1"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""FREE"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-03-26T21:44:13.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3367209, ""metadata"": {}}}";169;ParkingSpot;onstreet,SHOPANDDRIVE;GU25;50.62829038, 5.56746622;GU25;1794;1;LIEGE;Libre;2023-03-26T23:44:13+02:00;Rue des Guillemins;https://www.liege.be/shopanddrive
"{""id"": ""325"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-03-29T10:36:27.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""PC01"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.65533441"", ""5.60625414""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""PC01"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""2048"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""48"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""OCCUPIED"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-03-29T10:36:27.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3381591, ""metadata"": {}}}";325;ParkingSpot;onstreet,SHOPANDDRIVE;PC01;50.65533441, 5.60625414;PC01;2048;48;LIEGE;Occupé;2023-03-29T12:36:27+02:00;;https://www.liege.be/shopanddrive
"{""id"": ""48"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-04-05T05:41:50.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""GR09"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.63509660"", ""5.58098568""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""GR09"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""1937"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""2"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""FREE"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-04-05T05:41:50.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3417932, ""metadata"": {}}}";48;ParkingSpot;onstreet,SHOPANDDRIVE;GR09;50.6350966, 5.58098568;GR09;1937;2;LIEGE;Libre;2023-04-05T07:41:50+02:00;Rue Grétry;https://www.liege.be/shopanddrive
"{""id"": ""167"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-04-09T06:24:55.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""GU23"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.62820035"", ""5.56740621""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""GU23"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""2124"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""1"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""FREE"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-04-09T06:24:55.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3440583, ""metadata"": {}}}";167;ParkingSpot;onstreet,SHOPANDDRIVE;GU23;50.62820035, 5.56740621;GU23;2124;1;LIEGE;Libre;2023-04-09T08:24:55+02:00;Rue des Guillemins;https://www.liege.be/shopanddrive
"{""id"": ""109"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-04-30T12:13:31.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""TR04"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.63923339"", ""5.56547021""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""TR04"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""1824"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""14"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""FREE"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-04-30T12:13:31.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3542010, ""metadata"": {}}}";109;ParkingSpot;onstreet,SHOPANDDRIVE;TR04;50.63923339, 5.56547021;TR04;1824;14;LIEGE;Libre;2023-04-30T14:13:31+02:00;Rue Trappé;https://www.liege.be/shopanddrive
"{""id"": ""152"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-05-01T10:15:12.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""GU04"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.62963600"", ""5.56816300""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""GU04"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""1789"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""1"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""OCCUPIED"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-05-01T10:15:12.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3546792, ""metadata"": {}}}";152;ParkingSpot;onstreet,SHOPANDDRIVE;GU04;50.629636, 5.568163;GU04;1789;1;LIEGE;Occupé;2023-05-01T12:15:12+02:00;Rue des Guillemins;https://www.liege.be/shopanddrive
"{""id"": ""227"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-05-04T16:20:58.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""CL13"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.63931582"", ""5.57301426""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""CL13"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""1797"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""13"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""OCCUPIED"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-05-04T16:20:58.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3562208, ""metadata"": {}}}";227;ParkingSpot;onstreet,SHOPANDDRIVE;CL13;50.63931582, 5.57301426;CL13;1797;13;LIEGE;Occupé;2023-05-04T18:20:58+02:00;Rue des Clarisses;https://www.liege.be/shopanddrive
"{""id"": ""221"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-05-03T13:17:02.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""SA21"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.64110000"", ""5.56734300""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""SA21"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""1822"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""11"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""FREE"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-05-03T13:17:01.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3555575, ""metadata"": {}}}";221;ParkingSpot;onstreet,SHOPANDDRIVE;SA21;50.6411, 5.567343;SA21;1822;11;LIEGE;Libre;2023-05-03T15:17:01+02:00;Boulevard de la Sauvenière;https://www.liege.be/shopanddrive
"{""id"": ""340"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""KISSANDRIDE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-05-06T11:55:28.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""CH02"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.64517589"", ""5.63102272""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""CH02"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""2008"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""52"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""FREE"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-05-06T11:55:28.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3569765, ""metadata"": {}}}";340;ParkingSpot;onstreet,KISSANDRIDE;CH02;50.64517589, 5.63102272;CH02;2008;52;LIEGE;Libre;2023-05-06T13:55:28+02:00;;https://www.liege.be/kissandride
"{""id"": ""327"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-05-06T18:12:59.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""PC03"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.65536162"", ""5.60609858""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""PC03"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""2038"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""48"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""OCCUPIED"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-05-06T18:12:58.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3571636, ""metadata"": {}}}";327;ParkingSpot;onstreet,SHOPANDDRIVE;PC03;50.65536162, 5.60609858;PC03;2038;48;LIEGE;Occupé;2023-05-06T20:12:58+02:00;;https://www.liege.be/shopanddrive
"{""id"": ""199"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-05-08T01:58:04.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""PR03"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.64265300"", ""5.58025600""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""PR03"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""1756"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""18"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""OCCUPIED"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-05-08T01:58:03.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3574794, ""metadata"": {}}}";199;ParkingSpot;onstreet,SHOPANDDRIVE;PR03;50.642653, 5.580256;PR03;1756;18;LIEGE;Occupé;2023-05-08T03:58:03+02:00;Chaussée-des-Prés;https://www.liege.be/shopanddrive
"{""id"": ""105"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-05-08T21:31:32.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""GI08"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.63795100"", ""5.56300700""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""GI08"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""1566"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""12"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""FREE"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-05-08T21:31:32.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3579186, ""metadata"": {}}}";105;ParkingSpot;onstreet,SHOPANDDRIVE;GI08;50.637951, 5.563007;GI08;1566;12;LIEGE;Libre;2023-05-08T23:31:32+02:00;Rue Saint-Gilles;https://www.liege.be/shopanddrive
"{""id"": ""189"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-05-10T04:06:14.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""CA06"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.64026695"", ""5.57517422""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""CA06"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""1447"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""17"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""OCCUPIED"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-05-10T04:06:14.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3583895, ""metadata"": {}}}";189;ParkingSpot;onstreet,SHOPANDDRIVE;CA06;50.64026695, 5.57517422;CA06;1447;17;LIEGE;Occupé;2023-05-10T06:06:14+02:00;Rue des Carmes;https://www.liege.be/shopanddrive
"{""id"": ""364"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""KISSANDRIDE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-05-10T06:06:20.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""SM02"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.63256433"", ""5.56491724""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""SM02"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""1838"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""61"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""FREE"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-05-10T06:06:20.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3584236, ""metadata"": {}}}";364;ParkingSpot;onstreet,KISSANDRIDE;SM02;50.63256433, 5.56491724;SM02;1838;61;LIEGE;Libre;2023-05-10T08:06:20+02:00;;https://www.liege.be/kissandride
"{""id"": ""127"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-05-10T09:10:07.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""CM03"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.64071400"", ""5.57236400""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""CM03"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""1753"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""10"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""OCCUPIED"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-05-10T09:10:07.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3585433, ""metadata"": {}}}";127;ParkingSpot;onstreet,SHOPANDDRIVE;CM03;50.640714, 5.572364;CM03;1753;10;LIEGE;Occupé;2023-05-10T11:10:07+02:00;Rue Charles-Magnette;https://www.liege.be/shopanddrive
"{""id"": ""102"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-05-10T12:24:38.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""GI04"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.63804515"", ""5.56323243""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""GI04"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""2026"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""12"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""OCCUPIED"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-05-10T12:24:38.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3586515, ""metadata"": {}}}";102;ParkingSpot;onstreet,SHOPANDDRIVE;GI04;50.63804515, 5.56323243;GI04;2026;12;LIEGE;Occupé;2023-05-10T14:24:38+02:00;Rue Saint-Gilles;https://www.liege.be/shopanddrive
"{""id"": ""985"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-05-08T18:20:20.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""FG04"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.62667804"", ""5.57256889""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""FG04"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""2079"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""138"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""OCCUPIED"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-05-08T18:20:20.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3578874, ""metadata"": {}}}";985;ParkingSpot;onstreet,SHOPANDDRIVE;FG04;50.62667804, 5.57256889;FG04;2079;138;LIEGE;Occupé;2023-05-08T20:20:20+02:00;;https://www.liege.be/shopanddrive
"{""id"": ""177"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-05-08T16:28:18.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""GU28"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.62931500"", ""5.56811500""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""GU28"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""2058"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""1"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""FREE"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-05-08T16:28:18.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3578533, ""metadata"": {}}}";177;ParkingSpot;onstreet,SHOPANDDRIVE;GU28;50.629315, 5.568115;GU28;2058;1;LIEGE;Libre;2023-05-08T18:28:18+02:00;Rue des Guillemins;https://www.liege.be/shopanddrive
"{""id"": ""335"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""KISSANDRIDE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-05-09T11:26:41.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""VM03"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.65080840"", ""5.59208388""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""VM03"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""1861"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""50"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""FREE"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-05-08T11:06:30.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": null, ""metadata"": {}}}";335;ParkingSpot;onstreet,KISSANDRIDE;VM03;50.6508084, 5.59208388;VM03;1861;50;LIEGE;Libre;2023-05-08T13:06:30+02:00;;https://www.liege.be/kissandride
"{""id"": ""328"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-05-09T10:30:34.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""PC04"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.65537437"", ""5.60602347""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""PC04"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""2037"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""48"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""OCCUPIED"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-05-09T10:30:34.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3581088, ""metadata"": {}}}";328;ParkingSpot;onstreet,SHOPANDDRIVE;PC04;50.65537437, 5.60602347;PC04;2037;48;LIEGE;Occupé;2023-05-09T12:30:34+02:00;;https://www.liege.be/shopanddrive
