jsondatas;Identifiant;Type;Catégorie;Description;Localisation;Nom;jsondatas_refdevice_value;jsondatas_refparkinggroup_value;jsondatas_refparkingsite_value;Statut;Date du statut;Adresse;Url
"{""id"": ""188"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-02-07T15:16:57.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""CA05"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.64023803"", ""5.57510448""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""CA05"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""1584"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""17"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""FREE"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2021-12-07T04:57:43.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": null, ""metadata"": {}}}";188;ParkingSpot;onstreet,SHOPANDDRIVE;CA05;50.64023803, 5.57510448;CA05;1584;17;LIEGE;Libre;2021-12-07T05:57:43+01:00;Rue des Carmes;https://www.liege.be/shopanddrive
"{""id"": ""115"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-02-21T11:03:07.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""GR24"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.63543800"", ""5.58078100""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""GR24"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""2105"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""2"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""FREE"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-02-21T21:14:03.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": null, ""metadata"": {}}}";115;ParkingSpot;onstreet,SHOPANDDRIVE;GR24;50.635438, 5.580781;GR24;2105;2;LIEGE;Libre;2023-02-21T22:14:03+01:00;Rue Grétry;https://www.liege.be/shopanddrive
"{""id"": ""205"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-02-23T14:13:33.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""GU09"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.62769300"", ""5.56692400""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""GU09"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""1839"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""1"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""FREE"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-02-23T14:13:33.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3202702, ""metadata"": {}}}";205;ParkingSpot;onstreet,SHOPANDDRIVE;GU09;50.627693, 5.566924;GU09;1839;1;LIEGE;Libre;2023-02-23T15:13:33+01:00;Rue des Guillemins;https://www.liege.be/shopanddrive
"{""id"": ""993"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-03-04T08:11:11.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""LV01"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.63171928"", ""5.55754837""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""LV01"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""1969"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""141"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""FREE"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-03-04T08:11:11.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3246164, ""metadata"": {}}}";993;ParkingSpot;onstreet,SHOPANDDRIVE;LV01;50.63171928, 5.55754837;LV01;1969;141;LIEGE;Libre;2023-03-04T09:11:11+01:00;;https://www.liege.be/shopanddrive
"{""id"": ""999"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-03-01T08:16:40.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""OB04"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.61978633"", ""5.56482937""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""OB04"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""1974"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""142"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""FREE"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-03-01T08:16:40.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3229481, ""metadata"": {}}}";999;ParkingSpot;onstreet,SHOPANDDRIVE;OB04;50.61978633, 5.56482937;OB04;1974;142;LIEGE;Libre;2023-03-01T09:16:40+01:00;;https://www.liege.be/shopanddrive
"{""id"": ""28"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-04-19T19:06:48.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""JO03"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.63974200"", ""5.58378100""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""JO03"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""2096"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""6"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""FREE"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-04-17T17:20:54.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": null, ""metadata"": {}}}";28;ParkingSpot;onstreet,SHOPANDDRIVE;JO03;50.639742, 5.583781;JO03;2096;6;LIEGE;Libre;2023-04-17T19:20:54+02:00;Rue Jean-d'Outremeuse;https://www.liege.be/shopanddrive
"{""id"": ""143"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-04-12T16:26:27.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""DE17"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.63856700"", ""5.57274400""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""DE17"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""2121"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""9"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""OCCUPIED"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-04-12T16:26:27.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3456101, ""metadata"": {}}}";143;ParkingSpot;onstreet,SHOPANDDRIVE;DE17;50.638567, 5.572744;DE17;2121;9;LIEGE;Occupé;2023-04-12T18:26:27+02:00;Avenue Maurice Destenay;https://www.liege.be/shopanddrive
"{""id"": ""378"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""KISSANDRIDE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-04-26T07:26:24.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""WA06"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.62983438"", ""5.55673367""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""WA06"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""1968"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""65"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""OCCUPIED"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-04-26T07:26:24.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3522748, ""metadata"": {}}}";378;ParkingSpot;onstreet,KISSANDRIDE;WA06;50.62983438, 5.55673367;WA06;1968;65;LIEGE;Occupé;2023-04-26T09:26:24+02:00;;https://www.liege.be/kissandride
"{""id"": ""112"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-04-23T11:46:23.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""GR21"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.63338300"", ""5.58299300""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""GR21"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""2085"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""2"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""FREE"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-04-23T11:46:23.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3509014, ""metadata"": {}}}";112;ParkingSpot;onstreet,SHOPANDDRIVE;GR21;50.633383, 5.582993;GR21;2085;2;LIEGE;Libre;2023-04-23T13:46:23+02:00;Rue Grétry;https://www.liege.be/shopanddrive
"{""id"": ""75"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-04-15T14:59:00.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""CM10"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.64106200"", ""5.57439400""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""CM10"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""2093"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""10"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""OCCUPIED"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-04-15T14:59:00.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3471506, ""metadata"": {}}}";75;ParkingSpot;onstreet,SHOPANDDRIVE;CM10;50.641062, 5.574394;CM10;2093;10;LIEGE;Occupé;2023-04-15T16:59:00+02:00;Rue Charles-Magnette;https://www.liege.be/shopanddrive
