Geo Point;Geo Shape;Identifiant;Code rue (ICAR / BeStaddress);Rue;Code rue;Numéro;Identifiant d'adresse (ICAR / BeStaddress);Commune;Code postal;Places disponibles;Date de création;Date de dernière modification;Statut;Année de mise en service;Largeur;Longueur;Ville
50.6190434472, 5.594255424;"{""coordinates"": [5.594255424, 50.6190434472], ""type"": ""Point""}";1934;7731235;rue Paul Joseph Delcloche;1243;5;1162818;Liège;4020;1;2023-02-15;2023-03-23;Existant;2023;;6;Liège
50.630124395, 5.5896349363;"{""coordinates"": [5.5896349363, 50.630124395], ""type"": ""Point""}";1951;7730681;rue des Oblats;7753;18;1215139;Liège;4030;1;2023-03-30;2023-04-17;Existant;2023;;6;Liège
50.6407863377, 5.5728038013;"{""coordinates"": [5.5728038013, 50.6407863377], ""type"": ""Point""}";1916;7730255;rue Charles Magnette;123;14;1121841;Liège;4000;2;2022-11-01;2022-11-01;Existant;2022;;12;Liège
50.6491194144, 5.5928400243;"{""coordinates"": [5.5928400243, 50.6491194144], ""type"": ""Point""}";1911;7731133;rue Laport;557;16;1217514;Liège;4000;1;2022-10-31;2022-12-05;Existant;2022;;6;Liège
50.6201061073, 5.5750310169;"{""coordinates"": [5.5750310169, 50.6201061073], ""type"": ""Point""}";1360;7729645;avenue Emile Digneffe;323;15;1107007;Liège;4000;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6671299538, 5.5646089511;"{""coordinates"": [5.5646089511, 50.6671299538], ""type"": ""Point""}";1828;7731396;rue Victor Croisier;8229;106;1141396;Liège;4000;1;2021-09-24;2021-09-24;Existant;;;;Liège
50.6519408482, 5.589594656;"{""coordinates"": [5.589594656, 50.6519408482], ""type"": ""Point""}";1609;7731405;rue Vivegnis;56;205;1198439;Liège;4000;1;2021-03-27;2021-03-27;Existant;;;;Liège
50.6415773674, 5.5550191264;"{""coordinates"": [5.5550191264, 50.6415773674], ""type"": ""Point""}";997;7731419;rue Wiertz;4112;35;1145343;Liège;4000;1;2013-05-30;2021-09-02;Existant;;;;Liège
50.6409384675, 5.5736226736;"{""coordinates"": [5.5736226736, 50.6409384675], ""type"": ""Point""}";934;7730255;rue Charles Magnette;123;8;1872212;Liège;4000;2;2013-05-30;2022-03-02;Existant;;;12;Liège
50.6235987773, 5.5969386217;"{""coordinates"": [5.5969386217, 50.6235987773], ""type"": ""Point""}";1789;7730206;rue Belvaux;7779;175;1110276;Liège;4030;1;2021-08-25;2021-08-25;Existant;;;;Liège
