Geo Point;Geo Shape;Identifiant;Code rue (ICAR / BeStaddress);Rue;Code rue;Numéro;Identifiant d'adresse (ICAR / BeStaddress);Commune;Code postal;Places disponibles;Date de création;Date de dernière modification;Statut;Année de mise en service;Largeur;Longueur;Ville
50.6421355524, 5.5934018911;"{""coordinates"": [5.5934018911, 50.6421355524], ""type"": ""Point""}";1520;7730702;rue des Porteuses d'eau;6245;12;1225004;Liège;4020;1;2021-03-27;2021-03-27;Existant;;;;Liège
50.6375421567, 5.5744487261;"{""coordinates"": [5.5744487261, 50.6375421567], ""type"": ""Point""}";1525;7730705;rue des Prémontrés;254;36;1227183;Liège;4000;1;2021-03-27;2021-03-27;Existant;;;;Liège
50.6391759819, 5.6053065054;"{""coordinates"": [5.6053065054, 50.6391759819], ""type"": ""Point""}";1528;7730707;rue des Primeroses;6328;13;1207908;Liège;4020;1;2021-03-27;2021-03-27;Existant;;;;Liège
50.6559065766, 5.6049469398;"{""coordinates"": [5.6049469398, 50.6559065766], ""type"": ""Point""}";1603;7730735;rue des Vignes;514;59;1209607;Liège;4000;1;2021-03-27;2021-03-27;Existant;;;;Liège
50.6346611323, 5.5842136606;"{""coordinates"": [5.5842136606, 50.6346611323], ""type"": ""Point""}";771;7730757;rue Douffet;731;98;1230172;Liège;4020;1;2013-05-30;2021-08-25;Existant;;;;Liège
50.6460200843, 5.5891723517;"{""coordinates"": [5.5891723517, 50.6460200843], ""type"": ""Point""}";661;7730754;rue Dos-Fanchon;624;13;1210456;Liège;4020;1;2013-05-30;2021-09-02;Existant;;;;Liège
50.6104916367, 5.5766635786;"{""coordinates"": [5.5766635786, 50.6104916367], ""type"": ""Point""}";1782;7730792;rue du Chêne;7282;176;1229863;Liège;4031;1;2021-08-25;2021-08-25;Existant;;;;Liège
50.6292435076, 5.5530023755;"{""coordinates"": [5.5530023755, 50.6292435076], ""type"": ""Point""}";720;7730831;rue du Laveu;945;185;1222990;Liège;4000;1;2013-05-30;2013-05-30;Existant;;;;Liège
50.6415400737, 5.5922954277;"{""coordinates"": [5.5922954277, 50.6415400737], ""type"": ""Point""}";761;7730836;rue du Marché;764;12;1221228;Liège;4020;1;2013-05-30;2021-08-31;Existant;;;;Liège
50.6321294705, 5.5747622563;"{""coordinates"": [5.5747622563, 50.6321294705], ""type"": ""Point""}";1121;7730001;place d'Italie;749;5;1106274;Liège;4020;1;2013-05-30;2021-08-18;Existant;;;;Liège
50.6531230646, 5.5947103769;"{""coordinates"": [5.5947103769, 50.6531230646], ""type"": ""Point""}";1546;7730881;rue du Ruisseau;589;43;1225561;Liège;4000;1;2021-03-27;2021-03-27;Existant;;;;Liège
50.6174162052, 5.6040917029;"{""coordinates"": [5.6040917029, 50.6174162052], ""type"": ""Point""}";1584;7730894;rue du Travail;789;44;1234975;Liège;4030;1;2021-03-27;2021-03-27;Existant;;;;Liège
50.6174786571, 5.6038235496;"{""coordinates"": [5.6038235496, 50.6174786571], ""type"": ""Point""}";1195;7730894;rue du Travail;789;38;1232740;Liège;4030;1;;2021-03-27;Existant;;;;Liège
50.6130711132, 5.5975017496;"{""coordinates"": [5.5975017496, 50.6130711132], ""type"": ""Point""}";724;7730896;rue du Val Benoît;7248;34;1218356;Liège;4031;1;2013-05-30;2021-03-27;Existant;;;;Liège
50.612251362, 5.5894984942;"{""coordinates"": [5.5894984942, 50.612251362], ""type"": ""Point""}";821;7730897;rue du Vallon;7249;1;1873302;Liège;4031;3;2013-05-30;2013-05-30;Existant;;;;Liège
50.6376015832, 5.5712777471;"{""coordinates"": [5.5712777471, 50.6376015832], ""type"": ""Point""}";1106;7730899;rue du Vertbois;273;25;1871868;Liège;4000;2;2013-05-30;2021-03-27;Existant;;;;Liège
50.6106705651, 5.5551083792;"{""coordinates"": [5.5551083792, 50.6106705651], ""type"": ""Point""}";736;7730900;rue du Viaduc;9877;47;1233813;Liège;4000;1;2013-05-30;2013-05-30;Existant;;;;Liège
50.6210564654, 5.5757882586;"{""coordinates"": [5.5757882586, 50.6210564654], ""type"": ""Point""}";709;7730904;rue du Vieux Mayeur;38;18;1233755;Liège;4000;1;2013-05-30;2013-05-30;Existant;;;;Liège
50.6305882858, 5.5623921448;"{""coordinates"": [5.5623921448, 50.6305882858], ""type"": ""Point""}";892;7730910;rue Edouard Wacken;322;31;1871724;Liège;4000;;2013-05-30;2013-05-30;Existant;;;;Liège
50.6145014049, 5.5882794704;"{""coordinates"": [5.5882794704, 50.6145014049], ""type"": ""Point""}";1066;7730915;rue Emile Verhaeren;7219;6;1208435;Liège;4031;1;2013-05-30;2021-08-25;Existant;;;;Liège
50.6466297259, 5.5525503026;"{""coordinates"": [5.5525503026, 50.6466297259], ""type"": ""Point""}";939;7730916;rue En Bois;44;16;1208388;Liège;4000;1;2013-05-30;2021-04-09;Existant;;;;Liège
50.6457115579, 5.6032472144;"{""coordinates"": [5.6032472144, 50.6457115579], ""type"": ""Point""}";760;7730922;rue Ernest Marneffe;228;27;1913541;Liège;4020;1;2013-05-30;2013-05-30;Existant;;;;Liège
50.6454570698, 5.6029701844;"{""coordinates"": [5.6029701844, 50.6454570698], ""type"": ""Point""}";1376;7731083;rue Jean-Mathieu Nisen;2213;33;1241103;Liège;4020;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6298306088, 5.602519004;"{""coordinates"": [5.602519004, 50.6298306088], ""type"": ""Point""}";1384;7730654;rue des Labours;7966;33;1240475;Liège;4030;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6304816352, 5.5655180624;"{""coordinates"": [5.5655180624, 50.6304816352], ""type"": ""Point""}";802;7730931;rue Fabry;325;27;1235905;Liège;4000;1;2013-05-30;2021-08-31;Existant;;;;Liège
50.6130820413, 5.587136067;"{""coordinates"": [5.587136067, 50.6130820413], ""type"": ""Point""}";1074;7730936;rue Félix Paulsen;7221;7;1218720;Liège;4031;1;2013-05-30;2013-05-30;Existant;;;;Liège
50.6568323582, 5.58423079;"{""coordinates"": [5.58423079, 50.6568323582], ""type"": ""Point""}";1770;7730953;rue Fond-des-Tawes;83;153;1208487;Liège;4000;1;2021-08-20;2021-08-20;Existant;;;;Liège
50.6518444006, 5.569667067;"{""coordinates"": [5.569667067, 50.6518444006], ""type"": ""Point""}";785;7730957;rue Fond-Pirette;831;174;1208819;Liège;4000;1;2013-05-30;2021-08-19;Existant;;;;Liège
50.6344936548, 5.5697631851;"{""coordinates"": [5.5697631851, 50.6344936548], ""type"": ""Point""}";1108;7729664;avenue Rogier;365;8;1119183;Liège;4000;3;2013-05-30;2021-04-09;Existant;;;;Liège
50.6384991884, 5.5931672646;"{""coordinates"": [5.5931672646, 50.6384991884], ""type"": ""Point""}";585;7730974;rue Frédéric Nyst;742;101;1229491;Liège;4020;3;2013-05-30;2021-08-25;Existant;;;;Liège
50.6192450609, 5.5844060859;"{""coordinates"": [5.5844060859, 50.6192450609], ""type"": ""Point""}";1413;7730980;rue Garde-Dieu;7287;37;1214492;Liège;4031;1;2021-03-26;2021-03-26;Existant;;;;Liège
50.6418790007, 5.5853938867;"{""coordinates"": [5.5853938867, 50.6418790007], ""type"": ""Point""}";914;7730992;rue Georges Simenon;653;13;1238924;Liège;4020;2;2013-05-30;2013-05-30;Existant;;;;Liège
50.612743542, 5.5947013724;"{""coordinates"": [5.5947013724, 50.612743542], ""type"": ""Point""}";1418;7730999;rue Gillieaux;7225;29;1219654;Liège;4031;1;2021-03-26;2021-03-26;Existant;;;;Liège
50.6378688092, 5.562283357;"{""coordinates"": [5.562283357, 50.6378688092], ""type"": ""Point""}";630;7731008;rue Grandgagnage;236;32;1237172;Liège;4000;2;2013-05-30;2013-05-30;Existant;;;;Liège
50.6251221902, 5.5932925081;"{""coordinates"": [5.5932925081, 50.6251221902], ""type"": ""Point""}";1164;7731021;rue Haute-Wez;7746;67;1220921;Liège;4030;1;;2021-09-02;Existant;;;;Liège
50.6172129463, 5.5813493849;"{""coordinates"": [5.5813493849, 50.6172129463], ""type"": ""Point""}";1784;7730132;quai Joseph Wauters;7291;1;1126044;Liège;4031;1;2021-08-25;2021-08-25;Existant;;;;Liège
50.6252643141, 5.6194233971;"{""coordinates"": [5.6194233971, 50.6252643141], ""type"": ""Point""}";1152;7730391;rue de la Mutualité;7621;36;1128374;Liège;4030;1;;2021-09-02;Existant;;;;Liège
50.6484599665, 5.5642980575;"{""coordinates"": [5.5642980575, 50.6484599665], ""type"": ""Point""}";889;7731048;rue Hocheporte;463;94;1239290;Liège;4000;1;2013-05-30;2021-08-20;Existant;;;;Liège
50.6429088922, 5.5573576822;"{""coordinates"": [5.5573576822, 50.6429088922], ""type"": ""Point""}";848;7731054;rue Hullos;467;107;1214156;Liège;4000;1;2013-05-30;2021-09-02;Existant;;;;Liège
50.6493927607, 5.563449711;"{""coordinates"": [5.563449711, 50.6493927607], ""type"": ""Point""}";781;7731055;rue Isi Collin;468;5;1240335;Liège;4000;1;2013-05-30;2021-08-19;Existant;;;;Liège
50.6315732962, 5.5806778941;"{""coordinates"": [5.5806778941, 50.6315732962], ""type"": ""Point""}";852;7731136;rue Latour;754;27;1235637;Liège;4020;1;2013-05-30;2021-09-02;Existant;;;;Liège
50.654312121, 5.549918826;"{""coordinates"": [5.549918826, 50.654312121], ""type"": ""Point""}";1810;7731152;rue Longue;8155;46;1236054;Liège;4000;1;2021-08-27;2021-08-27;Existant;;;;Liège
50.6544917781, 5.5504503042;"{""coordinates"": [5.5504503042, 50.6544917781], ""type"": ""Point""}";1470;7731152;rue Longue;8155;50;1236053;Liège;4000;1;2021-03-26;2021-03-26;Existant;;;;Liège
50.6382682977, 5.5840762543;"{""coordinates"": [5.5840762543, 50.6382682977], ""type"": ""Point""}";1444;7731158;rue Louis Jamme;646;16;1227443;Liège;4020;1;2021-03-26;2021-03-26;Existant;;;;Liège
50.6488047476, 5.5851408832;"{""coordinates"": [5.5851408832, 50.6488047476], ""type"": ""Point""}";1460;7731182;rue Mathieu Laensbergh;565;24;1217585;Liège;4000;1;2021-03-26;2021-03-26;Existant;;;;Liège
50.6437268166, 5.5822208227;"{""coordinates"": [5.5822208227, 50.6437268166], ""type"": ""Point""}";904;7731183;rue Mathieu Polain;647;18;1217567;Liège;4020;2;2013-05-30;2021-04-13;Existant;;;;Liège
50.6190395894, 5.6103652245;"{""coordinates"": [5.6103652245, 50.6190395894], ""type"": ""Point""}";1478;7731185;rue Matteoti;7857;39;1208932;Liège;4030;1;2021-03-26;2021-03-26;Existant;;;;Liège
50.6545298283, 5.555464643;"{""coordinates"": [5.555464643, 50.6545298283], ""type"": ""Point""}";791;7731195;rue Molinvaux;85;222;1229209;Liège;4000;1;2013-05-30;2021-03-26;Existant;;;;Liège
50.6212617125, 5.5951757199;"{""coordinates"": [5.5951757199, 50.6212617125], ""type"": ""Point""}";1169;7731196;rue Montgomery;781;65;1209913;Liège;4030;1;;2021-09-02;Existant;;;;Liège
50.6499501729, 5.5920621279;"{""coordinates"": [5.5920621279, 50.6499501729], ""type"": ""Point""}";1232;7731200;rue Mosselman;573;8;1169596;Liège;4000;1;;2021-09-02;Existant;;;;Liège
50.6331525544, 5.6038913317;"{""coordinates"": [5.6038913317, 50.6331525544], ""type"": ""Point""}";808;7731212;rue Nicolas Coumans;796;13;1189792;Liège;4030;1;2013-05-30;2021-09-02;Existant;;;;Liège
50.6267954949, 5.615133501;"{""coordinates"": [5.615133501, 50.6267954949], ""type"": ""Point""}";1239;7731218;rue Nicolas Spiroux;7623;142;1172652;Liège;4030;1;;2021-09-02;Existant;;;;Liège
50.6567922051, 5.5960342974;"{""coordinates"": [5.5960342974, 50.6567922051], ""type"": ""Point""}";1510;7731241;rue Pied-du-Thier-à-Liège;58;65;1154170;Liège;4000;1;2021-03-26;2021-03-26;Existant;;;;Liège
50.6508359133, 5.5734838521;"{""coordinates"": [5.5734838521, 50.6508359133], ""type"": ""Point""}";968;7731245;rue Pierreuse;82;176;1143521;Liège;4000;1;2013-05-30;2021-09-02;Existant;;;;Liège
50.6307346952, 5.6284074381;"{""coordinates"": [5.6284074381, 50.6307346952], ""type"": ""Point""}";1529;7731261;rue Prince de Liège;768;122;1139533;Liège;4030;1;2021-03-27;2021-03-27;Existant;;;;Liège
50.6157919918, 5.5581572568;"{""coordinates"": [5.5581572568, 50.6157919918], ""type"": ""Point""}";1658;7731263;rue Professeur Mahaim;9865;68;1191916;Liège;4000;1;2021-03-31;2021-03-31;Existant;;;;Liège
50.6492099122, 5.5856820726;"{""coordinates"": [5.5856820726, 50.6492099122], ""type"": ""Point""}";1230;7731272;rue Regnier Poncelet;585;14;1190251;Liège;4000;1;;2021-09-02;Existant;;;;Liège
50.6390113793, 5.5841836181;"{""coordinates"": [5.5841836181, 50.6390113793], ""type"": ""Point""}";621;7731288;rue Rouleau;668;8;1145650;Liège;4020;2;2013-05-30;2021-04-13;Existant;;;;Liège
50.6549491329, 5.5730348984;"{""coordinates"": [5.5730348984, 50.6549491329], ""type"": ""Point""}";778;7731304;rue Sainte-Walburge;81;14;1192018;Liège;4000;1;2013-05-30;2021-08-31;Existant;;;;Liège
50.6388721858, 5.5652278056;"{""coordinates"": [5.5652278056, 50.6388721858], ""type"": ""Point""}";1110;7731307;rue Saint-Gilles;25;84;1141000;Liège;4000;1;2013-05-30;2013-05-30;Existant;;;;Liège
50.6111203159, 5.6064515368;"{""coordinates"": [5.6064515368, 50.6111203159], ""type"": ""Point""}";822;7731309;rue Saint-Jacques;724;49;1138890;Liège;4031;1;2013-05-30;2013-05-30;Existant;;;;Liège
50.6540135859, 5.6057349018;"{""coordinates"": [5.6057349018, 50.6540135859], ""type"": ""Point""}";1252;7731315;rue Saint-Léonard;55;538;1204918;Liège;4000;1;;2021-09-02;Existant;;;;Liège
50.6525475869, 5.600180876;"{""coordinates"": [5.600180876, 50.6525475869], ""type"": ""Point""}";1219;7731315;rue Saint-Léonard;55;424;1436940;Liège;4000;1;;2021-09-02;Existant;;;;Liège
50.6422732693, 5.5334735439;"{""coordinates"": [5.5334735439, 50.6422732693], ""type"": ""Point""}";1559;7731320;rue Saint-Nicolas;4624;616;1203191;Liège;4000;1;2021-03-27;2021-03-27;Existant;;;;Liège
50.6381028948, 5.5424149199;"{""coordinates"": [5.5424149199, 50.6381028948], ""type"": ""Point""}";646;7731320;rue Saint-Nicolas;42;236;1879667;Liège;4000;1;2013-05-30;2021-08-31;Existant;;;;Liège
50.6456266056, 5.5659720724;"{""coordinates"": [5.5659720724, 50.6456266056], ""type"": ""Point""}";1562;7731326;rue Saint-Séverin;499;46;1871302;Liège;4000;1;2021-03-27;2021-03-27;Existant;;;;Liège
50.6184370838, 5.5411891337;"{""coordinates"": [5.5411891337, 50.6184370838], ""type"": ""Point""}";1758;7731352;rue Sous-les-Vignes;9872;48;1165475;Liège;4000;1;2021-08-20;2021-08-20;Existant;;;;Liège
50.6184440792, 5.5410924999;"{""coordinates"": [5.5410924999, 50.6184440792], ""type"": ""Point""}";1571;7731352;rue Sous-les-Vignes;9872;48;1165475;Liège;4000;1;2021-03-27;2021-03-27;Existant;;;;Liège
50.6599150074, 5.5992551939;"{""coordinates"": [5.5992551939, 50.6599150074], ""type"": ""Point""}";1213;7731355;rue Stanislas Fleussu;244;23;1156772;Liège;4000;1;;2021-09-02;Existant;;;;Liège
50.6394284873, 5.5955671425;"{""coordinates"": [5.5955671425, 50.6394284873], ""type"": ""Point""}";926;7731366;rue Tanixhe;6246;41;1198513;Liège;4020;1;2013-05-30;2021-08-25;Existant;;;;Liège
50.6402608176, 5.594658848;"{""coordinates"": [5.594658848, 50.6402608176], ""type"": ""Point""}";662;7731366;rue Tanixhe;6246;7;1198505;Liège;4020;1;2013-05-30;2021-08-25;Existant;;;;Liège
50.6134721356, 5.5877331412;"{""coordinates"": [5.5877331412, 50.6134721356], ""type"": ""Point""}";734;7731391;rue Vaudrée;725;235;1167249;Liège;4031;1;2013-05-30;2013-05-30;Existant;;;;Liège
50.6427987252, 5.6131473315;"{""coordinates"": [5.6131473315, 50.6427987252], ""type"": ""Point""}";1613;7731421;rue Winston Churchill;6253;353;1162945;Liège;4020;1;2021-03-27;2021-03-27;Existant;;;;Liège
50.6461570409, 5.569695247;"{""coordinates"": [5.569695247, 50.6461570409], ""type"": ""Point""}";745;7730303;rue de Bruxelles;115;6;1873462;Liège;4000;3;2013-05-30;2013-05-30;Existant;;;;Liège
50.6355210193, 5.5603063463;"{""coordinates"": [5.5603063463, 50.6355210193], ""type"": ""Point""}";1114;7730977;rue Fusch;235;54;1212328;Liège;4000;1;2013-05-30;2022-11-01;Existant;;;;Liège
50.6108930725, 5.6206147517;"{""coordinates"": [5.6206147517, 50.6108930725], ""type"": ""Point""}";1092;7730449;rue de l'Eglise;742;132;1124140;Liège;4032;1;2013-05-30;2022-11-18;Existant;;;;Liège
50.6340524272, 5.583186319;"{""coordinates"": [5.583186319, 50.6340524272], ""type"": ""Point""}";1389;7730811;rue du Fer;736;27;1237078;Liège;4020;2;2021-03-25;2023-03-02;Existant;2023;;12;Liège
50.6321353819, 5.5673482858;"{""coordinates"": [5.5673482858, 50.6321353819], ""type"": ""Point""}";1945;7729672;boulevard d'Avroy;31;234;1128198;Liège;4000;1;2023-03-23;2023-03-23;Existant;2023;;6;Liège
50.6604653415, 5.5754664107;"{""coordinates"": [5.5754664107, 50.6604653415], ""type"": ""Point""}";1338;7730592;rue des Cotillages;821;55;;Liège;4000;1;2021-03-25;2023-05-04;Existant;;;;Liège
50.6366839826, 5.5828564784;"{""coordinates"": [5.5828564784, 50.6366839826], ""type"": ""Point""}";1901;7731403;rue Villette;791;1;1158944;Liège;4020;1;2022-10-31;2022-12-05;Existant;2022;;6;Liège
50.6294635507, 5.6112740051;"{""coordinates"": [5.6112740051, 50.6294635507], ""type"": ""Point""}";1931;7731101;rue Joseph Lemaire;7616;13;1216284;Liège;4030;1;2023-02-15;2023-03-02;Existant;2023;;;Liège
50.6316210496, 5.6036307203;"{""coordinates"": [5.6036307203, 50.6316210496], ""type"": ""Point""}";897;7730929;rue Eugène Vandenhoff;796;153;1211937;Liège;4030;1;2013-05-30;2022-11-01;Existant;;;;Liège
50.6543881451, 5.5501538108;"{""coordinates"": [5.5501538108, 50.6543881451], ""type"": ""Point""}";1894;7731152;rue Longue;8155;46;1236054;Liège;4000;1;2022-09-28;2022-11-01;Existant;2022;;6;Liège
50.6462897172, 5.6299524585;"{""coordinates"": [5.6299524585, 50.6462897172], ""type"": ""Point""}";1870;7730025;place Gît-le-Coq;6531;39;1126077;Liège;4020;1;2022-06-24;2022-10-13;Existant;;;6;Liège
50.6378511973, 5.6033127615;"{""coordinates"": [5.6033127615, 50.6378511973], ""type"": ""Point""}";1305;7729597;avenue Brigade Piron;6329;5;1964734;Liège;4020;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6455097371, 5.6080543274;"{""coordinates"": [5.6080543274, 50.6455097371], ""type"": ""Point""}";696;7729611;avenue de la Croix-Rouge;6212;290;1107040;Liège;4020;1;2013-05-30;2013-05-30;Existant;;;;Liège
50.6301332436, 5.5897172961;"{""coordinates"": [5.5897172961, 50.6301332436], ""type"": ""Point""}";1159;7730681;rue des Oblats;7753;18;1215139;Liège;4030;1;;2021-09-02;Existant;;;;Liège
50.6645036986, 5.5929640266;"{""coordinates"": [5.5929640266, 50.6645036986], ""type"": ""Point""}";1137;7731412;rue Walthère Dewé;25;75;1188153;Liège;4000;1;;2021-09-02;Existant;;;;Liège
50.6153595692, 5.6169171707;"{""coordinates"": [5.6169171707, 50.6153595692], ""type"": ""Point""}";1034;7731420;rue Wilmart;7443;35;1147540;Liège;4032;1;2013-05-30;2013-05-30;Existant;;;;Liège
50.619850303, 5.5748228024;"{""coordinates"": [5.5748228024, 50.619850303], ""type"": ""Point""}";1359;7729645;avenue Emile Digneffe;323;12;1107010;Liège;4000;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6305018208, 5.5534270749;"{""coordinates"": [5.5534270749, 50.6305018208], ""type"": ""Point""}";1836;7730266;rue Comhaire;92;80;1120216;Liège;4000;1;2022-01-28;2022-01-28;Existant;;;6;Liège
50.6371097647, 5.5685441835;"{""coordinates"": [5.5685441835, 50.6371097647], ""type"": ""Point""}";1279;7729672;boulevard d'Avroy;21;51;1119483;Liège;4000;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6204652599, 5.5948515874;"{""coordinates"": [5.5948515874, 50.6204652599], ""type"": ""Point""}";654;7729674;boulevard de Douai;7784;55;1110934;Liège;4030;1;2013-05-30;2021-09-02;Existant;;;;Liège
50.6607229528, 5.5969072131;"{""coordinates"": [5.5969072131, 50.6607229528], ""type"": ""Point""}";1378;7729687;boulevard Ernest Solvay;212;246;1102807;Liège;4000;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6609500329, 5.5964576445;"{""coordinates"": [5.5964576445, 50.6609500329], ""type"": ""Point""}";1637;7729687;boulevard Ernest Solvay;212;505;1102770;Liège;4000;1;2021-03-31;2021-03-31;Existant;;;;Liège
50.61958423, 5.6206575344;"{""coordinates"": [5.6206575344, 50.61958423], ""type"": ""Point""}";1837;7730375;rue de la Jonchaie;7526;9;1130171;Liège;4032;1;2022-01-28;2022-01-28;Existant;;;;Liège
50.6649789408, 5.5606068311;"{""coordinates"": [5.5606068311, 50.6649789408], ""type"": ""Point""}";1583;7729709;chaussée de Tongres;8227;36;1121766;Liège;4000;1;2021-03-27;2021-03-27;Existant;;;;Liège
50.6677500561, 5.5558257543;"{""coordinates"": [5.5558257543, 50.6677500561], ""type"": ""Point""}";900;7729709;chaussée de Tongres;8227;160;1130361;Liège;4000;1;2013-05-30;2021-09-02;Existant;;;;Liège
50.6420546316, 5.5926734337;"{""coordinates"": [5.5926734337, 50.6420546316], ""type"": ""Point""}";1757;7729795;cour du Rivage;6242;5;1132121;Liège;4020;1;2021-08-20;2021-08-20;Existant;;;;Liège
50.6502325552, 5.5860366908;"{""coordinates"": [5.5860366908, 50.6502325552], ""type"": ""Point""}";1448;7729923;Jonruelle;553;30;1117943;Liège;4000;1;2021-03-26;2021-03-26;Existant;;;;Liège
50.6565507624, 5.5709724356;"{""coordinates"": [5.5709724356, 50.6565507624], ""type"": ""Point""}";799;7729933;Montagne Sainte-Walburge;851;102;1448168;Liège;4000;;2013-05-30;2013-05-30;Existant;;;;Liège
50.6504100973, 5.5694523647;"{""coordinates"": [5.5694523647, 50.6504100973], ""type"": ""Point""}";1493;7729933;Montagne Sainte-Walburge;851;56;1105863;Liège;4000;1;2021-03-26;2021-03-26;Existant;;;;Liège
50.6454222412, 5.5723614299;"{""coordinates"": [5.5723614299, 50.6454222412], ""type"": ""Point""}";1551;7730055;place Saint-Lambert;186;34;1872626;Liège;4000;1;2021-03-27;2021-03-27;Existant;;;;Liège
50.6521057315, 5.588804951;"{""coordinates"": [5.588804951, 50.6521057315], ""type"": ""Point""}";1607;7730063;place Vivegnis;57;5;1126472;Liège;4000;1;2021-03-27;2021-03-27;Existant;;;;Liège
50.6432981541, 5.5931409216;"{""coordinates"": [5.5931409216, 50.6432981541], ""type"": ""Point""}";653;7730127;quai du Roi Albert;6243;26;1119222;Liège;4020;1;2013-05-30;2021-09-02;Existant;;;;Liège
50.6473221803, 5.5952453543;"{""coordinates"": [5.5952453543, 50.6473221803], ""type"": ""Point""}";1420;7730130;quai Godefroid Kurth;632;82;1132569;Liège;4020;1;2021-03-26;2021-03-26;Existant;;;;Liège
50.6485746744, 5.5936336628;"{""coordinates"": [5.5936336628, 50.6485746744], ""type"": ""Point""}";1554;7730141;quai Saint-Léonard;52;49;1871373;Liège;4000;1;2021-03-27;2021-03-27;Existant;;;;Liège
50.6549438275, 5.6054366792;"{""coordinates"": [5.6054366792, 50.6549438275], ""type"": ""Point""}";1259;7730158;rue Adolphe Borgnet;58;38;1115878;Liège;4000;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6253277664, 5.6144258881;"{""coordinates"": [5.6144258881, 50.6253277664], ""type"": ""Point""}";1760;7730205;rue Belleflamme;763;335;1237603;Liège;4030;1;2021-08-20;2021-08-20;Existant;;;;Liège
50.614734544, 5.5817964429;"{""coordinates"": [5.5817964429, 50.614734544], ""type"": ""Point""}";1748;7730215;rue Boileau;7278;41;1110648;Liège;4031;1;2021-08-20;2021-08-20;Existant;;;;Liège
50.644672368, 5.5491234826;"{""coordinates"": [5.5491234826, 50.644672368], ""type"": ""Point""}";1292;7730219;rue Bois Gotha;421;64;1128266;Liège;4000;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6301507308, 5.6065985942;"{""coordinates"": [5.6065985942, 50.6301507308], ""type"": ""Point""}";1318;7730242;rue Célestin Demblon;7952;2;1112401;Liège;4030;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6794597676, 5.5430158171;"{""coordinates"": [5.5430158171, 50.6794597676], ""type"": ""Point""}";1262;7730280;rue d'Alleur;822;9;1105991;Liège;4000;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.671349535, 5.5424670785;"{""coordinates"": [5.5424670785, 50.671349535], ""type"": ""Point""}";1268;7730285;rue d'Ans;823;99;1125764;Liège;4000;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6734775196, 5.5441130812;"{""coordinates"": [5.5441130812, 50.6734775196], ""type"": ""Point""}";1269;7730285;rue d'Ans;823;43;1125792;Liège;4000;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.645977619, 5.62931272;"{""coordinates"": [5.62931272, 50.645977619], ""type"": ""Point""}";1634;7730289;rue Dassonville;6432;17;1117184;Liège;4020;1;2021-03-31;2021-03-31;Existant;;;;Liège
50.6460583064, 5.6295091735;"{""coordinates"": [5.6295091735, 50.6460583064], ""type"": ""Point""}";1778;7730289;rue Dassonville;6432;6;1117176;Liège;4020;1;2021-08-25;2021-08-25;Existant;;;;Liège
50.6551285662, 5.5679637793;"{""coordinates"": [5.5679637793, 50.6551285662], ""type"": ""Point""}";1626;7730304;rue de Campine;813;378;1235498;Liège;4000;1;2021-03-31;2021-08-19;Existant;;;;Liège
50.6277896197, 5.5983355532;"{""coordinates"": [5.5983355532, 50.6277896197], ""type"": ""Point""}";1345;7730313;rue de Cracovie;7959;152;1125887;Liège;4030;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6264678779, 5.599583314;"{""coordinates"": [5.599583314, 50.6264678779], ""type"": ""Point""}";1346;7730313;rue de Cracovie;7959;100;1123675;Liège;4030;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6254710196, 5.5981338076;"{""coordinates"": [5.5981338076, 50.6254710196], ""type"": ""Point""}";727;7730322;rue de Grivegnée;7976;8;1220141;Liège;4030;1;2013-05-30;2021-09-02;Existant;;;;Liège
50.6253485503, 5.5983905556;"{""coordinates"": [5.5983905556, 50.6253485503], ""type"": ""Point""}";1424;7730322;rue de Grivegnée;7976;4;1220169;Liège;4030;1;2021-03-26;2021-03-26;Existant;;;;Liège
50.6281090583, 5.6261405448;"{""coordinates"": [5.6261405448, 50.6281090583], ""type"": ""Point""}";1818;7730326;rue de Herve;7671;571;1110406;Liège;4030;1;2021-08-27;2021-08-27;Existant;;;;Liège
50.6415921411, 5.598777515;"{""coordinates"": [5.598777515, 50.6415921411], ""type"": ""Point""}";1496;7730842;rue du Moulin;6231;119;1914398;Liège;4020;1;2021-03-26;2021-03-26;Existant;;;;Liège
50.655557397, 5.5771833591;"{""coordinates"": [5.5771833591, 50.655557397], ""type"": ""Point""}";1739;7730347;rue de la Chaîne;817;23;1133261;Liège;4000;1;2021-08-19;2021-08-19;Existant;;;;Liège
50.64250723, 5.5866163541;"{""coordinates"": [5.5866163541, 50.64250723], ""type"": ""Point""}";1332;7730356;rue de la Commune;614;23;1213757;Liège;4020;1;2021-03-25;2021-03-25;Existant;;;;Liège
