Entité;Localité;Code ins Localité;Code postal;Nombre de Voiries;Abréviation;Total population de droit;Date données Population;Nombre Masculin;Nombre Féminin;Nombre Ménage;Nombre Chefs ménage;Nombre Isolés;Nombre en Communauté;Nombre Hommes;Nombre Femmes;Nombre Enfants < 18ans;Altitude minimum;Altitude maximum;Nombre Secteurs INS;Localité Majuscule;Code ins Entité;Superficie;Densité de population;Images;PDF;Total Belges;Total Etrangers;Total Etrangers UE;Total Etrangers hors UE;Top1 Prénom masculin;Total top1 Prénom masculin;Top2 Prénom masculin;Total top2 Prénom masculin;Top3 Prénom masculin;Total top3 Prénom masculin;Top1 Nom de famille;Total top1 Nom de famille;Top2 Nom de famille;Total top2 Nom de famille;Top3 Nom de famille;Total top3 Nom de famille;Top1 Prénom féminin;Top2 Prénom féminin;Top3 Prénom féminin;Total top1 Prénom féminin;Total top2 Prénom féminin;Total top3 Prénom féminin;Total moins 20 ans;Total 20-29 ans;Total 30-39 ans;Total 40-54 ans;Total 55-64 ans;Total 65 ans +;Taille moyenne ménages;Total Ménages Taille 1;Total Ménages Taille 5;Total Ménages Taille 2;Total Ménages Taille 3;Total Ménages Taille 4;Total Ménages Taille 6 et +;Total Mén. Couple Sans enfant;Total Mén. Couple avec enfants;Total Mén. Isolés Masculin;Total Mén. Isolés Féminin;Total Mén. Monoparental Masculin;Total Mén. Monoparental Féminin;Total Mén. Couple avec autre(s);Total Mén. Cohabitants sans enfant;Total Mén. Cohabitants avec enfant(s);Total Mén. Cohabitants avec autre(s);Total Ménages Autres;Geo Point;Geo Shape
NAMUR;Wierde;92136;5100;54;WD;1909;2023-05-07;947;962;758;573;185;0;716;728;465;139;213;8;WIERDE;92094;1162.2;164;https://data.namur.be/api/explore/v2.1/catalog/datasets/namur-limites-des-localites/files/1a6a700a42aa015570d5f740e308f279;https://carto.ville.namur.be/data/plans_gun/wierde.pdf;1832;77;46;31;Jean;26;Philippe;23;Pierre;20;Bertrand;17;Simon;16;André;12;Marie;Anne;Sophie;26;18;13;465;200;232;399;249;364;2.5184696569920844;185;46;257;137;116;17;140;156;82;103;33;60;5;10;32;2;135;50.4311950848777, 4.943901668592364;"{""coordinates"": [[[4.9408115028, 50.4473650183], [4.939913245, 50.4472246774], [4.9387446798, 50.4470723298], [4.9379762404, 50.4469903149], [4.937218147, 50.4469304843], [4.9367111016, 50.4468503075], [4.9358779957, 50.4465909776], [4.9353811755, 50.4465394034], [4.9315964405, 50.4463190241], [4.9302932095, 50.4462792018], [4.9265899296, 50.446115934], [4.9260023606, 50.446090019], [4.9259068149, 50.4457385037], [4.925914535, 50.4454155334], [4.9233982965, 50.4450140283], [4.9226127419, 50.4448905322], [4.9206682655, 50.4451236006], [4.9183122306, 50.4454069393], [4.9167878536, 50.4443773865], [4.9161449146, 50.4443227381], [4.9117306561, 50.444577413], [4.911779603, 50.4445446537], [4.9118100708, 50.4445102996], [4.9119272959, 50.4441752908], [4.9121061695, 50.4439468621], [4.9121334783, 50.4439255931], [4.9121482933, 50.4438903474], [4.9121508231, 50.4438322882], [4.9121342891, 50.4437736807], [4.9120984752, 50.4437106394], [4.9120923926, 50.4436885071], [4.9119702756, 50.4436140298], [4.9119351465, 50.4435942153], [4.9118960786, 50.4435452216], [4.9118584505, 50.4435161981], [4.9118425188, 50.4434909157], [4.9118399793, 50.4434794017], [4.9116610772, 50.4433823169], [4.9115254006, 50.443258433], [4.9115232174, 50.4432350049], [4.9113713416, 50.4430928558], [4.9112392418, 50.4429838963], [4.911120329, 50.4429307548], [4.9111198056, 50.4429194759], [4.9110846329, 50.4429043878], [4.9109667756, 50.442884383], [4.9108058451, 50.4428699753], [4.9107059186, 50.4428125606], [4.9106591113, 50.4426825484], [4.9103994765, 50.4424749526], [4.9103132903, 50.4422868823], [4.910318076, 50.4421870713], [4.9103709672, 50.4421253437], [4.9104302176, 50.4421051057], [4.9105627116, 50.4419747316], [4.910704643, 50.4417574908], [4.910704874, 50.4417321607], [4.9107299619, 50.441709293], [4.9108377225, 50.4415970044], [4.9108371808, 50.4415852203], [4.910889552, 50.441486426], [4.9108892062, 50.4414562221], [4.9108859488, 50.4414298087], [4.9108075413, 50.4412694536], [4.9106868581, 50.4409390166], [4.9101554043, 50.4410995834], [4.9101319472, 50.4410274241], [4.9101229023, 50.4409786854], [4.9101300059, 50.4408576018], [4.9101642907, 50.4407760929], [4.9102593007, 50.4406124068], [4.9097731487, 50.4401701229], [4.9095285314, 50.4399552385], [4.9091612217, 50.4397290822], [4.9088577194, 50.4395881542], [4.9085784627, 50.4394924691], [4.9075803628, 50.439062475], [4.9072047458, 50.4389196989], [4.9064726738, 50.4385870015], [4.906306126, 50.4382542586], [4.9062172281, 50.4381897], [4.9041436788, 50.4374716127], [4.9028070649, 50.4363330771], [4.9023867601, 50.4362943093], [4.9014524373, 50.436210112], [4.9014941463, 50.4358888028], [4.9017576516, 50.434004191], [4.9018565605, 50.4333753743], [4.9039311551, 50.4336083187], [4.9052730044, 50.4321259696], [4.9037860621, 50.4312669247], [4.9037972454, 50.4312289591], [4.9043847431, 50.4305700929], [4.9047395592, 50.4301956065], [4.9051870208, 50.4297807495], [4.906006293, 50.430167436], [4.907413144, 50.4307036122], [4.9079652518, 50.4309306078], [4.9085307809, 50.4311402567], [4.909026452, 50.4313418911], [4.9093900083, 50.4315118086], [4.9096821912, 50.4316545429], [4.91015642, 50.4319113305], [4.9104801629, 50.4320811966], [4.9118634958, 50.4327974719], [4.9120412289, 50.4328591544], [4.9125922385, 50.4330172594], [4.9131072127, 50.4331566991], [4.9133138792, 50.4332023595], [4.9140817225, 50.4333215262], [4.9151403076, 50.433468987], [4.9150650505, 50.4337431126], [4.9150511959, 50.4338387258], [4.9151566767, 50.433905112], [4.9155738095, 50.4339694581], [4.9167642891, 50.4341277163], [4.920210996, 50.4319309979], [4.9228618599, 50.4302539285], [4.9390782124, 50.419958219], [4.9416473904, 50.4183058534], [4.9434619105, 50.4171349805], [4.9502296331, 50.4129073307], [4.9544697991, 50.4102271514], [4.9553518569, 50.4096757681], [4.9557387981, 50.4099288902], [4.95592496, 50.4100849194], [4.9591311863, 50.412354547], [4.9600949111, 50.4129311124], [4.9606610469, 50.4132486732], [4.9608854157, 50.4134215729], [4.9610598299, 50.4136130473], [4.9612128911, 50.4138312985], [4.9613680106, 50.413967628], [4.9615415835, 50.4141556401], [4.961689642, 50.4143802725], [4.9617838367, 50.4144460819], [4.9621695762, 50.4145965797], [4.9627203975, 50.4146733114], [4.9632912071, 50.4146899815], [4.9636952965, 50.4146484314], [4.9640927671, 50.4145191113], [4.964376979, 50.4144062882], [4.9647609758, 50.4144175755], [4.9650622132, 50.4145162882], [4.9656372017, 50.4148714233], [4.9659829101, 50.415060945], [4.9662259213, 50.4151946967], [4.9667607584, 50.4153707014], [4.967451229, 50.4155149607], [4.9682178687, 50.4156425072], [4.9692093629, 50.4158221391], [4.9702122451, 50.4160480969], [4.9706642595, 50.4161999244], [4.9710894612, 50.4163873492], [4.9716397264, 50.4166455175], [4.9726724562, 50.4171317435], [4.9736284567, 50.4175933006], [4.9743850514, 50.4180008866], [4.9754428114, 50.418554212], [4.9751205852, 50.4190854168], [4.9745516573, 50.41997997], [4.9739165555, 50.4207798791], [4.9723817951, 50.4222817967], [4.9718572937, 50.422788528], [4.9716105999, 50.4230664957], [4.9715800411, 50.4230508381], [4.9707470575, 50.4238640295], [4.9703845114, 50.424262138], [4.9700801263, 50.4244712913], [4.9699806526, 50.4245977228], [4.9697980107, 50.4249409035], [4.9696732255, 50.4250642381], [4.9695063108, 50.4251798474], [4.9693349364, 50.4252887698], [4.969135382, 50.4253768464], [4.9689804179, 50.4254646939], [4.9688409539, 50.4255955342], [4.9685464658, 50.425801365], [4.9691321306, 50.4261036305], [4.9695609331, 50.4263022456], [4.9715622333, 50.4271524935], [4.9728895619, 50.4277431488], [4.9734504028, 50.4280196757], [4.9737637099, 50.4281520253], [4.9737324342, 50.428288754], [4.9740022178, 50.4289198208], [4.9740248531, 50.4290548039], [4.9741593132, 50.4294259647], [4.9742152726, 50.4295127866], [4.9743337455, 50.4296320551], [4.9746351117, 50.4298395597], [4.9748153113, 50.4299959173], [4.9751337913, 50.4301883368], [4.9754374499, 50.4302440118], [4.975560246, 50.430255921], [4.9756340098, 50.4302947292], [4.9762288641, 50.4307394737], [4.9762919163, 50.4308148178], [4.9763224189, 50.4308884622], [4.976342667, 50.4309999208], [4.9763198597, 50.4311081703], [4.9762620377, 50.4312080259], [4.9761501887, 50.4313865263], [4.9757873951, 50.4317249782], [4.9755412479, 50.4318804178], [4.9753371617, 50.432023792], [4.9750296516, 50.4322284195], [4.9746802278, 50.4323931713], [4.9743201918, 50.4327557411], [4.9741021357, 50.4329571197], [4.9739992186, 50.4330798934], [4.9738918822, 50.4331609844], [4.9736437645, 50.4333966498], [4.9735729628, 50.4335146859], [4.9735184441, 50.433587418], [4.9734251868, 50.4336371344], [4.9733113843, 50.4337300174], [4.9730922915, 50.4336753792], [4.9725741865, 50.4341884281], [4.9724769672, 50.4342772348], [4.972036106, 50.4346641388], [4.9711891384, 50.4353444226], [4.9705063159, 50.435667525], [4.9703225075, 50.4357389007], [4.9697218629, 50.4359596237], [4.968901029, 50.4363339813], [4.9681649498, 50.4362785996], [4.9679407977, 50.4362748206], [4.9676244887, 50.4363159354], [4.9674552414, 50.4363760327], [4.9672096031, 50.436505619], [4.9670421622, 50.4367088332], [4.9668003574, 50.4371255469], [4.9666592429, 50.4372823899], [4.9664844255, 50.4376031402], [4.9662961459, 50.4378021127], [4.9659943172, 50.437978821], [4.9656503994, 50.4381290914], [4.9652896286, 50.4381951883], [4.9649225435, 50.4382286681], [4.9647010412, 50.4383178211], [4.964329896, 50.4385905416], [4.9638513816, 50.4388601034], [4.9634549407, 50.4390806649], [4.963083734, 50.43942694], [4.962866226, 50.4395735242], [4.9626265981, 50.4396899661], [4.9623501859, 50.4397970627], [4.962065388, 50.4399601518], [4.9619279823, 50.4401008713], [4.9618448635, 50.4403149923], [4.9614086427, 50.4418851049], [4.9597761744, 50.4420662606], [4.9587125063, 50.4422184165], [4.9575725661, 50.4424207698], [4.9564181813, 50.442668511], [4.9550500891, 50.4429856543], [4.9545786133, 50.4431044057], [4.9544562187, 50.4431166163], [4.9528564123, 50.4433072682], [4.952271195, 50.4433986025], [4.9516876984, 50.4435110577], [4.949360336, 50.4437597243], [4.9488202705, 50.4438053754], [4.9484375001, 50.4438214592], [4.9474825421, 50.4438190472], [4.9467165656, 50.443830036], [4.9460800318, 50.4438951675], [4.9457496325, 50.4439580253], [4.9453450929, 50.4440156851], [4.9444234664, 50.4441927751], [4.9442293262, 50.4442193873], [4.9438819451, 50.4447814415], [4.9438303393, 50.4448365764], [4.943670972, 50.4450987184], [4.9437286003, 50.4451884395], [4.9429277607, 50.4460040308], [4.9408115028, 50.4473650183]]], ""type"": ""Polygon""}"
NAMUR;Cognelée;92025;5022;19;CG;780;2023-05-07;406;374;313;224;89;12;294;295;191;166;224;4;COGNELEE;92094;479.0;162;https://data.namur.be/api/explore/v2.1/catalog/datasets/namur-limites-des-localites/files/bfa1d013f123027324739e93412b2c75;https://carto.ville.namur.be/data/plans_gun/cognelee.pdf;748;32;22;10;Pierre;10;Jean;9;Olivier;9;Legros;15;Artoisenet;10;Collard;8;Marie;Véronique;Stéphanie;9;8;7;191;90;95;166;101;137;2.4920127795527156;89;17;104;44;52;7;56;67;47;42;12;29;2;4;6;0;48;50.51692069397716, 4.908152528496701;"{""coordinates"": [[[4.904508444, 50.5311188317], [4.9041681108, 50.5309738701], [4.9040723274, 50.5309379357], [4.9034361456, 50.530670598], [4.9030495455, 50.5296146175], [4.9010514523, 50.5288075911], [4.8977838511, 50.5274443871], [4.8959569618, 50.526683283], [4.8960084398, 50.5265901753], [4.8960611536, 50.52648422], [4.8962574082, 50.5261070614], [4.8964672311, 50.5257433911], [4.8966388268, 50.5254295011], [4.8968288186, 50.5251303274], [4.8969460838, 50.5249480325], [4.8970885847, 50.5247120256], [4.897123826, 50.5246262616], [4.8971459739, 50.5245484515], [4.8971728529, 50.5244813276], [4.8976405632, 50.5238170102], [4.8981611099, 50.5230363239], [4.8984148934, 50.5225884704], [4.8984867673, 50.5224606627], [4.8986670815, 50.5221218839], [4.8985561995, 50.5220106822], [4.8985223762, 50.5219772966], [4.8985190215, 50.5219112468], [4.8983363914, 50.5217500964], [4.8981299179, 50.521758278], [4.8961804833, 50.5206091257], [4.8961260748, 50.5205395349], [4.8925942825, 50.5160929646], [4.892517459, 50.5160145959], [4.8922400149, 50.5156149678], [4.8922215982, 50.5155934288], [4.8921881625, 50.5155578118], [4.8905164972, 50.5138245938], [4.8894918352, 50.5127634372], [4.8885580669, 50.5118016258], [4.8884896475, 50.5117350492], [4.8886042631, 50.5117767496], [4.8888701891, 50.511548736], [4.8911032632, 50.5096293318], [4.8918108424, 50.50901739], [4.891869021, 50.5089578769], [4.8919182439, 50.5079049774], [4.8919615387, 50.5069667053], [4.8919793715, 50.5052101335], [4.8919842429, 50.5050803635], [4.8922416041, 50.5052054668], [4.8933158891, 50.5057707841], [4.8942300271, 50.506255426], [4.8960741562, 50.5072060063], [4.8958817799, 50.5073660577], [4.8978815188, 50.5083429796], [4.8971607412, 50.5051708588], [4.8982215772, 50.5048779644], [4.8980759119, 50.5047514794], [4.898292952, 50.5045260018], [4.8985606434, 50.5042997716], [4.8987634044, 50.5044351822], [4.8996766016, 50.5049385435], [4.9016710859, 50.5060438763], [4.9021654111, 50.5062146416], [4.9025416182, 50.506705505], [4.9030335193, 50.5072624089], [4.9034861975, 50.5075516543], [4.9034463178, 50.5076636877], [4.9035484683, 50.5078226732], [4.9041814775, 50.5081938543], [4.9046699009, 50.5085734175], [4.90498449, 50.508699449], [4.9061659903, 50.5095857375], [4.9065232222, 50.5098442289], [4.9068972212, 50.510149159], [4.9075699581, 50.5106174737], [4.9076890887, 50.5106935841], [4.9079284227, 50.5108311198], [4.9081519484, 50.5109752743], [4.9082343224, 50.5110363715], [4.9083423992, 50.5111290938], [4.9084415823, 50.511206702], [4.9086883901, 50.5114085029], [4.9087589233, 50.5114225197], [4.9087592615, 50.5114236212], [4.9110473156, 50.5091890755], [4.9130979297, 50.5071939638], [4.9148525304, 50.5054972081], [4.9157181543, 50.504648886], [4.9160500812, 50.5050366126], [4.916227572, 50.5051912059], [4.9165677698, 50.5054113775], [4.9181158576, 50.5062449926], [4.9224112811, 50.5085847475], [4.9224724528, 50.5086292144], [4.9224828978, 50.5086533795], [4.9225226038, 50.5086728355], [4.9217359422, 50.5093417686], [4.9216350527, 50.5094285818], [4.9212764603, 50.5097181422], [4.9209807759, 50.5099587617], [4.919887923, 50.5108406448], [4.9196993429, 50.5110261355], [4.9199910117, 50.5112285147], [4.9217055065, 50.5123772484], [4.9224513248, 50.5128779797], [4.9225967025, 50.5129555817], [4.9237323867, 50.5133387747], [4.9253026979, 50.5138562521], [4.9261669012, 50.5141464608], [4.9265880409, 50.5141929228], [4.9279192515, 50.5143032644], [4.9294504258, 50.514441649], [4.9302541205, 50.5148943879], [4.9310653141, 50.5153349478], [4.9323446557, 50.5160307662], [4.9322568412, 50.5160475372], [4.9321615903, 50.5160748594], [4.931010872, 50.5166809651], [4.9306704883, 50.5169537663], [4.9303529163, 50.5172267089], [4.9299584257, 50.5176301343], [4.9290250465, 50.518071127], [4.9281284712, 50.5185326095], [4.9274442807, 50.5188671639], [4.9256740181, 50.5197007018], [4.9256227712, 50.5196899114], [4.9255781406, 50.5196821029], [4.9253253141, 50.5196482393], [4.9220751463, 50.5193033544], [4.9195208295, 50.5189277725], [4.9192342936, 50.5187198513], [4.9189564813, 50.5185587779], [4.9188857962, 50.5185242797], [4.9186264391, 50.5184975592], [4.9184364637, 50.5184952386], [4.9181785205, 50.5185371245], [4.918059782, 50.5186091044], [4.9179799964, 50.5186686751], [4.9179730677, 50.5186967804], [4.917919501, 50.5187832228], [4.9178767262, 50.5188142134], [4.9177790975, 50.5188519225], [4.9176488781, 50.5188934525], [4.9175800387, 50.5189011737], [4.9174111985, 50.5188687308], [4.9173384682, 50.5188316961], [4.9168912753, 50.5194263635], [4.918098441, 50.5206605075], [4.9182027285, 50.5207715034], [4.9192005477, 50.5215619679], [4.9191537495, 50.521936638], [4.9201635463, 50.5220851057], [4.9196739312, 50.5237231653], [4.9195129721, 50.5243017753], [4.9190874432, 50.525666765], [4.9189493733, 50.5260943974], [4.9179034174, 50.5263653479], [4.9176756593, 50.5264462289], [4.9174170479, 50.5265276541], [4.9169436688, 50.5264217786], [4.916907994, 50.5264760636], [4.9168852736, 50.5265329128], [4.9168093865, 50.5265804035], [4.9127556496, 50.5286626932], [4.9127456612, 50.5286628388], [4.9105693784, 50.529817991], [4.9097225518, 50.5291563268], [4.9079619778, 50.5277483731], [4.907102151, 50.5285777103], [4.9060957552, 50.5296105352], [4.9055728593, 50.5301085719], [4.9050976508, 50.530562231], [4.904508444, 50.5311188317]]], ""type"": ""Polygon""}"
